,gateway_name,symbol,exchange,datetime,interval,volume,turnover,open_interest,open_price,high_price,low_price,close_price,vt_symbol
351,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:09:00+08:00,Interval.MINUTE,3.18087,0,0,109188.82,109188.82,109165.15,109165.16,BTCUSDT.BINANCE
352,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:10:00+08:00,Interval.MINUTE,5.81038,0,0,109165.16,109198.23,109165.15,109177.97,BTCUSDT.BINANCE
353,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:11:00+08:00,Interval.MINUTE,3.89873,0,0,109177.97,109191.45,109177.97,109191.45,BTCUSDT.BINANCE
354,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:12:00+08:00,Interval.MINUTE,2.93675,0,0,109191.45,109191.45,109166.54,109166.55,BTCUSDT.BINANCE
355,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:13:00+08:00,Interval.MINUTE,5.15048,0,0,109166.55,109166.55,109160.16,109160.17,BTCUSDT.BINANCE
356,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:14:00+08:00,Interval.MINUTE,7.56248,0,0,109160.16,109160.17,109141.6,109141.61,BTCUSDT.BINANCE
357,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:15:00+08:00,Interval.MINUTE,9.15886,0,0,109141.6,109169.63,109141.6,109169.62,BTCUSDT.BINANCE
358,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:16:00+08:00,Interval.MINUTE,10.01743,0,0,109169.63,109240.13,109156.31,109205.78,BTCUSDT.BINANCE
359,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:17:00+08:00,Interval.MINUTE,6.63069,0,0,109205.77,109233.06,109160.0,109223.74,BTCUSDT.BINANCE
360,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:18:00+08:00,Interval.MINUTE,8.53578,0,0,109223.73,109239.6,109185.51,109205.92,BTCUSDT.BINANCE
361,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:19:00+08:00,Interval.MINUTE,1.60098,0,0,109205.93,109205.93,109187.41,109191.24,BTCUSDT.BINANCE
362,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:20:00+08:00,Interval.MINUTE,4.72747,0,0,109191.25,109253.34,109191.25,109253.34,BTCUSDT.BINANCE
363,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:21:00+08:00,Interval.MINUTE,2.17577,0,0,109253.34,109253.34,109236.72,109243.98,BTCUSDT.BINANCE
364,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:22:00+08:00,Interval.MINUTE,3.00584,0,0,109243.98,109250.0,109230.48,109230.49,BTCUSDT.BINANCE
365,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:23:00+08:00,Interval.MINUTE,3.46279,0,0,109230.49,109287.43,109230.49,109287.43,BTCUSDT.BINANCE
366,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:24:00+08:00,Interval.MINUTE,1.63153,0,0,109287.42,109287.43,109287.42,109287.43,BTCUSDT.BINANCE
