,close
1689,113348.39
1690,113263.3
1691,113301.87
1692,113364.11
1693,113291.9
1694,113304.64
1695,113200.01
1696,113210.68
1697,113286.13
1698,113266.81
1699,113416.33
1700,113568.37
1701,113605.85
1702,113575.99
1703,113432.86
1704,113476.78
1705,113465.01
1706,113468.96
1707,113420.01
1708,113500.59
1709,113484.03
1710,113525.73
1711,113513.14
1712,113551.58
1713,113569.85
1714,113627.56
1715,113572.87
1716,113630.0
1717,113713.99
1718,113667.93
1719,113600.0
1720,113445.72
1721,113529.33
1722,113557.99
1723,113614.39
1724,113654.08
1725,113598.0
1726,113610.91
1727,113595.72
1728,113671.23
1729,113667.12
1730,113610.15
1731,113635.14
1732,113616.32
1733,113634.59
1734,113694.92
1735,113802.01
1736,113872.87
1737,113882.18
1738,113931.66
1739,113951.09
1740,113989.18
1741,114009.31
1742,113880.76
1743,113988.9
1744,114006.01
1745,113976.89
1746,113940.01
1747,113968.35
1748,113999.36
1749,113876.78
1750,113874.08
1751,113856.66
1752,113899.71
1753,113932.05
1754,113858.84
1755,113892.55
1756,113868.91
1757,113851.77
1758,113760.95
1759,113749.99
1760,113763.52
1761,113819.34
1762,113828.32
1763,113884.0
1764,113912.2
1765,113974.45
1766,113954.11
1767,113947.25
1768,113969.99
1769,114010.72
1770,114079.99
1771,114070.01
1772,114070.01
1773,114094.07
1774,114052.91
1775,114035.96
1776,113953.34
1777,114037.1
1778,114041.61
1779,114024.85
1780,114026.83
1781,113988.89
1782,114014.43
1783,114051.99
1784,113961.9
1785,113972.19
1786,113972.19
1787,113972.2
1788,113972.19
1789,113940.01
1790,114007.65
1791,114020.85
1792,114034.94
1793,114053.8
1794,114064.92
1795,114065.12
1796,114065.12
1797,114037.17
1798,113956.9
1799,113892.12
1800,113895.65
1801,113990.66
1802,113996.49
1803,113965.09
1804,113841.43
1805,113654.0
